id;"""day""";man_hour;activity_id;project_id;profile_id;bay_id;voltage_level_id;status;description;improductive;created_at;updated_at;improductive_reason_id;number_of_revisions;action_deadline;main_skill_id;main_equipment_id
2;12/09/2019;1.73;5;1;10;2;1;0;Seitan butcher chambray gluten-free photo booth. Fixie cred ethical McSweeney's Portland mixtape retro. Viral VHS high life Wayfarers vegan art banh mi. Williamsburg Pitchfork messenger bag vice skateboard. Mlkshk cliche fanny pack Wayfarers put a bird on it.;TRUE;23/09/2019 15:03;23/09/2019 15:03;3;0;30/09/2019;1;2
3;15/09/2019;0.06;3;18;25;1;2;0;Artisan aesthetic mlkshk lo-fi fap. Blog high life fixie sartorial moon Cosby Sweater. Chambray 8-bit vinyl trust fund farm-to-table Shoreditch. Dreamcatcher moon gentrify jean shorts tofu.;TRUE;23/09/2019 15:03;23/09/2019 15:03;1;0;30/09/2019;1;1
4;12/09/2019;1.50;4;8;11;5;2;0;Messenger bag master cleanse mixtape VHS letterpress cred. Tattooed food truck tofu iPhone blog. Wayfarers Shoreditch high life Williamsburg messenger bag party American Apparel quinoa.;TRUE;23/09/2019 15:03;23/09/2019 15:03;2;0;30/09/2019;2;2
5;20/09/2019;0.03;3;13;11;4;4;0;Hoodie quinoa readymade you probably haven't heard of them helvetica stumptown Four Loko Williamsburg fap. Fixie 8-bit freegan vinyl Rerry Richardson viral yr. Skateboard lo-fi sustainable fap banh mi photo booth cred helvetica. Mixtape biodiesel trust fund thundercats lomo whatever tumblr.;TRUE;23/09/2019 15:03;23/09/2019 15:03;1;0;30/09/2019;1;4
6;19/09/2019;2.97;5;3;7;5;3;0;Vinyl seitan Williamsburg moon fixie keytar twee artisan. Mlkshk lo-fi trust fund Shoreditch artisan mustache gluten-free scenester beard. Cliche tattooed vegan gluten-free Shoreditch fixie brunch art. Sartorial whatever irony photo booth McSweeney's Wayfarers.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;1;1
7;14/09/2019;2.58;5;15;11;5;2;0;Whatever craft beer before they sold out skateboard mustache Brooklyn. Vegan butcher helvetica messenger bag thundercats tofu Brooklyn 8-bit readymade. Whatever quinoa American Apparel PBR Brooklyn.;TRUE;23/09/2019 15:03;23/09/2019 15:03;2;0;30/09/2019;2;5
8;19/09/2019;0.34;4;7;5;5;3;0;Chambray cardigan Austin Rerry Richardson Portland biodiesel. Tattooed Wes Anderson fap Four Loko DIY mlkshk you probably haven't heard of them. Brooklyn cardigan Carles McSweeney's gentrify next level. Synth Pitchfork Banksy tumblr cred trust fund. Messenger bag retro banh mi helvetica synth echo park keffiyeh.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;1;6
9;15/09/2019;1.37;5;13;8;7;3;0;Freegan McSweeney's cliche jean shorts mixtape lomo fanny pack. Cliche McSweeney's letterpress aesthetic Pitchfork artisan before they sold out. Cred sartorial aesthetic helvetica biodiesel Banksy. Wayfarers art lo-fi thundercats brunch beard cliche Carles skateboard. Stumptown ethical vegan salvia biodiesel Austin whatever.;TRUE;23/09/2019 15:03;23/09/2019 15:03;4;0;30/09/2019;3;4
10;18/09/2019;1.83;2;12;18;6;1;0;Locavore craft beer Wayfarers vice sartorial bicycle rights DIY salvia gluten-free. Keytar Pitchfork tumblr synth before they sold out you probably haven't heard of them vegan sustainable lomo. Party raw denim cardigan tattooed food truck bicycle rights. Irony helvetica cliche etsy McSweeney's dreamcatcher Shoreditch. Blog party Brooklyn echo park farm-to-table sartorial keytar.;TRUE;23/09/2019 15:03;23/09/2019 15:03;1;0;30/09/2019;4;5
11;17/09/2019;2.73;2;17;16;4;3;0;You probably haven't heard of them Cosby Sweater hoodie bicycle rights put a bird on it seitan. Organic bicycle rights irony Marfa synth. Squid PBR tofu before they sold out McSweeney's Wes Anderson. Keffiyeh locavore before they sold out Brooklyn Marfa chambray iPhone whatever leggings.;TRUE;23/09/2019 15:03;23/09/2019 15:03;3;0;30/09/2019;1;4
